beer_type_name,beer_type_cat
ALE,ALE
LAGER,LAGER
BEER,BEER
ASSORTED,ASSORTED
WHEAT,WHEAT
ALT,ALT
BITTER ALE,BITTER
OATMEAL STOUT,STOUT
PORTER,PORTER
BARLEY WINE ALE,BARLEY
MALT BEVERAGE,MALT
STOUT,STOUT
DRAFT,DRAFT
MALT LIQUOR,MALT
BOCK,BOCK
HEFEWEIZEN,WEIZEN
PORTER AND LAGER,PORTER
PILSNER,PILSNER
LAGER ALE,LAGER
WHEAT ALE,WHEAT
ALT BEER,MALT
BITTER,BITTER
DUNKEL,DUNKEL
DOPPLEBOCK,BOCK
IMPERIAL STOUT,STOUT
MALTA,MALT
MARZEN,MARZEN
DOPPELBOCK LAGER,LAGER
OKTOBERFEST,OKTOBERFEST
PILSNER LAGER,PILSNER
PORTER ALE,PORTER
CREAM ALE,ALE
STOCK ALE,ALE
LAMBIC,LAMBIC
CREAM STOUT,STOUT
DOUBLE BOCK,BOCK
TRIPLE BOCK,BOCK
WEISSE,WEIZEN
MAIBOCK,BOCK
WEIZEN DOPPLEBOCK,BOCK
BARLEY WINE,BARLEY
STOUT AND BOCK,STOUT
ALE AND STOUT,STOUT
BOCK LAGER,LAGER
WEIZEN,WEIZEN
EXTRA STOUT,STOUT
STOUT LAGER,STOUT
PORTER AND PILSNER,PORTER
HEFEWEIZEN ALE,WEIZEN
LAGER AND STOUT,LAGER
MALT,ALT
CHELADA,CHELADA
BREW,BREW
HEFEWEIZEN LAGER,WEIZEN
KRISTALL-WEIZEN,WEIZEN
BARLEY LAGER,BARLEY
MILK STOUT,STOUT
GUEUZE LAMBIC,LAMBIC
TRAPPIST ALE,ALE
STOUT DRAFT,STOUT
DUNKEL WEIZEN,DUNKEL
DOPPELBOCK,BOCK
IMPERIAL ALE, ALE
IMPERIAL PORTER,PORTER
STOUT ALE,ALE
WIT BIER,WIT BIER
SAISON,SAISON
PORTER AND ALE,PORTER
SHANDY,SHANDY
KOLSCH,KOLSCH
OATMEAL ALE,OAT
IMPERIAL PILSNER,PILSNER
OATMEAL IMPERIAL STT,OAT
STOUT AND PORTER,STOUT
RYE ALE,ALE
OATMEAL PORTER,STOUT
ALTBIER,ALTBIER
TYPE OF BEER/ALE,BEER
WHEATWINE,WHEAT
IMPERIAL BARLY WN AL,BARLEY
WEIZEN BOCK,WEIZEN
DOPPLEBOCK LAGER,LAGER
WEISSBIER ALE,WEIZEN
WEISSBIER,WEIZEN
MILK PORTER,PORTER
MIXED PRODUCT,MIXED PRODUCT
TRIPLE,TRIPLE
URBOCK,BOCK
EISBOCK,BOCK
SCHWARZBIER,SCHWARZBIER
BANANA,BANANA
WHITE,WHITE
WHEAT LAGER,WHEAT
HEFEDUNKEL,DUNKEL
