flavor_name,flavor_cat
NO FLAVOR,NO FLAVOR
ASSORTED,ASSORTED
RASPBERRY,RASPBERRY
RUM,RUM
WATERMELON,WATERMELON
PEACH,PEACH
BIG APPLE,APPLE
STRAWBERRY,STRAWBERRY
GREEN APPLE,APPLE
BLACK CHERRY,CHERRY
LEMON,LEMONADE
MOJITO,MOJITO
POMEGRANATE,POMEGRANATE
MANGO,MANGO
ORANGE,ORANGE
CHOCOLATE,CHOCOLATE
HONEY,HONEY
ORANGE GRAPEFRUIT,GRAPEFRUIT
LIME CACTUS,LIME
LONG ISLAND ICED TEA,LONG ISLAND ICED TEA
HURRICANE,HURRICANE
PINA COLADA,PINA COLADA
CRANBERRY PEACH,CRANBERRY
PEAR LEMON,LEMONADE
SPICED APPLE,SPICE
SPICED,SPICE
SPICY MANGO,MANGO
HOT CHOCOLATE,CHOCOLATE
SPICY LIME,SPICE
BANANA,BANANA
GRAPE,GRAPE
BLUE RASPBERRY,RASPBERRY
TEQUILA,TEQUILA
LIME,LIME
LEMON LIME,CITRUS
BLUEBERRY,BLUEBERRY
NUT BROWN,NUT BROWN
WHEAT,WHEAT
CHERRY,CHERRY
RYE,RYE
CREAM,CREAM
COFFEE,COFFEE
HARD CRANBERRY,CRANBERRY
HARD GRAPEFRUIT,GRAPEFRUIT
HARD BLUEBERRY,BLUEBERRY
CHILI,CHILI PEPPER
VANILLA,VANILLA
CRANBERRY,CRANBERRY
TEA,TEA
ORANGE CREAM,ORANGE
STRAWBERRY DAIQUIRI,STRAWBERRY
FUZZY NAVEL,FUZZY NAVEL
MARGARITA,MARGARITA
AGAVE,AGAVE
HONEY ALMOND,HONEY
KIWI STRAWBERRY,STRAWBERRY
HUCKLEBERRY,HUCKLEBERRY
PUMPKIN,PUMPKIN
PURE CITRUS,CITRUS
WILD GRAPE,GRAPE
GREEN TEA,APPLE
MANDARIN ORANGE,MANDARIN ORANGE
ORIGINAL CITRUS,ORIGINAL
HARD LEMONADE,LEMONADE
JALAPENO,JALAPENO
NECTAR,NECTARINE
CITRUS,CITRUS
SPICE,SPICE
RED,RED
HAZELNUT,HAZELNUT
PASSION COCKTAIL,PASSION FRUIT
APRICOT,APRICOT
MAPLE,MAPLE
COLA,COLA
GINGER,GINGER
BLUE ICE,BLUE ICE
RASPBERRY LEMON,BERRY LEMONADE
TANGERINE,TANGERINE
BLACKBERRY,BERRY
SCREWDRIVER,SCREWDRIVER
BERRY,BERRY
CRANBERRY LEMON,LEMONADE
CRISP APPLE,APPLE
LEMONADE,LEMONADE
HARD PINK LEMONADE,LEMONADE
WILDBERRY,BERRY
APPLE,APPLE
BITTER,BITTER
VANILLA BEAN,VANILLA
ORIGINAL,ORIGINAL
PINEAPPLE CITRUS,PINEAPPLE
NUT,NUT
HONEY CREAM,HONEY
MOCHA,MOCHA
MIXED FRUIT,MIXED FRUIT
PASSION,PASSION FRUIT
TROPICAL,TROPICAL
APPLE SPICE,APPLE
INDIA PALE,INDIA PALE
SERRANO PEPPER,CHILI PEPPER
WILD RICE,WILD RICE
NUTMEG AND RASPBERRY,NUTMEG AND RASPBERRY
TROPICAL FRUIT,TROPICAL
LEMON CITRUS,CITRUS
MANDARIN LIME,MARGARITA
HONEY RASPBERRY,RASPBERRY
MAPLE NUT,MAPLE
BLACK RASPBERRY,RASPBERRY
CRANBERRY ZINGER,CRANBERRY
PINEAPPLE,PINEAPPLE
PINEAPPLE COCONUT,PINA COLADA
BEER,BEER
MELON,MELON
SPRUCE AND PINE,SPRUCE AND PINE
GOOSEBERRY,GOOSEBERRY
BLACK CURRANT,BLACK CURRANT
ORGANIC,ORGANIC
APPLE CRANBERRY,CRANBERRY
APPLE HONEY,APPLE
PEAR,PEAR
GRANNY SMITH APPLE,GRANNY SMITH APPLE
TEA WITH LEMON,BERRY LEMONADE
HALF & HALF,HALF & HALF
PINEAPPLE MNDRN ORNG,PINEAPPLE MNDRN ORNG
RUBY RED CITRUS,CITRUS
ARC GRP PLS LMN LMSD,ARC GRP PLS LMN LMSD
TORCHED CHRRY PLS CL,TORCHED CHRRY PLS CL
FLAVOR/SCENT,FLAVOR/SCENT
SANGRIA,SANGRIA
AZULITAS,AZULITAS
CLAMATO,CLAMATO
CLAMATO EXTRA LIME,CLAMATO
LIMEYS,LIME
LIME A RITA,LIME
MANG O RITA,MANG O RITA
RAZ BER RITA,STRAWBERRY
STRAW BER RITA,STRAWBERRY
CLAMATO PICANTE,CLAMATO
SPIKED TEA,PUNCH
SPIKED LEMONADE,LEMONADE
ISLAND LIME MARGARIT,MARGARITA
PARADISE PUNCH,PUNCH
VANILLA OAK,VANILLA
POMEGRANATE RASPBRRY,POMEGRANATE
DRAGON FRUIT PEACH,DRAGON FRUIT PEACH
NECTARINE CITRUS,NECTARINE
BLUEBERRY POMEGRANAT,POMEGRANATE
STRAWBERRY PASSN FRT,PASSION FRUIT
HONEYCRISP APPLE,APPLE
HOT MELONS,HOT MELONS
LEMON LIME CITRUS,CITRUS
TROPICAL PUNCH,TROPICAL
FRUIT,FRUIT
HARD LEMON,LEMONADE
TEA AND LEMONADE,LEMONADE
BLUE BANSHEE,BLUE BANSHEE
MELONBALL,MELON
WHITE CITRUS,CITRUS
PEANUT BUTTER,PEANUT BUTTER
PINK LEMONADE,LEMONADE
STRAWBERRY LEMONADE,BERRY LEMONADE
HARD ICED TEA,HARD ICED TEA
HARD ICED TEA W/LMND,HARD ICED TEA
LEMON TEA,LEMONADE
CHERRY FEST,CHERRY
SWEET TEA,SWEET TEA
HRD IC T HRD LMN BLN,HRD IC T HRD LMN BLN
GREEN CITRUS,CITRUS
HARD BLACK ICED TEA,HARD ICED TEA
SALTED CARAMEL,SALTED CARAMEL
CHOCOLATE CREAM,CHOCOLATE
BLACKBERRY JACK,BERRY
WATERMELON PUNCH,WATERMELON
DOWNHOME PUNCH,DOWNHOME PUNCH
JACK APPLE,APPLE
BLACK JACK COLA,BLACK JACK COLA
CITRUS JACK SPLASH,CITRUS
TENNESSEE TEA,TEA
LYNCHBURG LEMONADE,BERRY LEMONADE
HURRICANE PUNCH,HURRICANE
WATERMELON SPIKE,WATERMELON
RUBY SQUEEZE,RUBY SQUEEZE
WILDBERRY JACK,BERRY
GINGER SPLASH,GINGER
TROPICAL CREAMER,TROPICAL
TROPICAL BURGUNDY,TROPICAL
CHILI PEPPER,CHILI PEPPER
BLACK ICE,BLACK ICE
GREEN APPLE APPLELCS,APPLE
PASSIONATE KISS,PASSION FRUIT
TAHITIAN SUNSET,TAHITIAN SUNSET
LIME MELONADE,LIME
TEA BREEZE,TEA BREEZE
CALYPSO COLADA,PINA COLADA
STRAWBERRY MARGARITA,STRAWBERRY
JAMAICAN ME HAPPY,JAMAICAN ME HAPPY
BAHAMAMAMA,BAHAMAMAMA
WILD BERRIES,BERRY
CHERRY FIZZ,CHERRY
RASPBERRY LEMONADE,BERRY LEMONADE
WATERMELON SPLASH,WATERMELON
BLACKBERRY BREEZER,BERRY
PINK PUNCH,PUNCH
BLUE HAWAIIAN,BLUE HAWAIIAN
GREEN MACHINE,GREEN MACHINE
TEA LEMONADE & MANGO,LEMONADE
CLASSIC LEMONADE,BERRY LEMONADE
LIMEADE,LIME
POMEGRANATE LEMON,POMEGRANATE
ISLAND BLISS,ISLAND BLISS
PINK DRAGON,PINK DRAGON
LIQUID HAZE,LIQUID HAZE
FRUIT PUNCH,PUNCH
SPIKED PUNCH,PUNCH
ORANGE HG,ORANGE
GREEN HG,APPLE
TRIPLE BERRY,BERRY
ORANGE CITRUS,CITRUS
CUCUMBER,CUCUMBER
SOUR GREEN APPLE,APPLE
MATAVA BLUE,MATAVA BLUE
SUNSET SURF,SUNSET SURF
WAVE RUNNER,WAVE RUNNER
PINEAPPLE COLADA,PINA COLADA
ROADHOUSE TEA,TEA
SPIKED COLA,PINA COLADA
BLUEBERRY & LEMONADE,BERRY LEMONADE
CRANBERRY & LIME,LIME
BLACK CHERRY & SODA,CHERRY
RASPBERRY AND SODA,RASPBERRY
ARCTIC BERRY,BERRY
BLACK WILD BERRY,BERRY
BLUEBERRY LEMONADE,BERRY LEMONADE
CHERRY LIME,LIME
CRANBERRY LIME SPLSH,CRANBERRY
PASSION FRUIT,PASSION FRUIT
PEACH BELLINI,PEACH
PINEAPPLE PINA,PINEAPPLE
POMEGRANATE FUSION,POMEGRANATE
RASPBERRY BURST,RASPBERRY
STRAWBERRY ACAI,STRAWBERRY
TRIPLE BLACK,TRIPLE BLACK
CHOC PEANUT BUTTER,PEANUT BUTTER
ACAI BERRY,BERRY
GINGER PUMPKIN,GINGER
SOUR APPLE,APPLE
HONEY BLUEBERRY,BLUEBERRY
CHESTNUT,CHESTNUT
MANGO MAGNIFICO,MANGO
VANILLA COFFEE COCNT,VANILLA COFFEE COCNT
RICE,RICE
CHERRY FUSION,CHERRY
BLUE RAZZ,BLUE RAZZ
SWEET POTATO,SWEET POTATO
HONEY RYE,HONEY
CRANTINI,CRANTINI
CLASSIC LIME,CLASSIC
POMEGRANATE MARTINI,POMEGRANATE
BLACK CHERRY LEMONAD,CHERRY
BLACK RASPBERRY LMND,RASPBERRY
CHOCOLATE CHERRY,CHOCOLATE
CLASSIC LIME MARGART,CITRUS
CLASSIC MARGARITA,MARGARITA
CRANBERRY LEMONADE,LEMONADE
FROZEN LEMONADE,LEMONADE
MANGO PUNCH,PUNCH
POMEGRANATE LEMONADE,POMEGRANATE
POMEGRANATE PUNCH,POMEGRANATE
BLOOD ORANGE,ORANGE
CHERRY LIM SMSH PNCH,CHERRY LIM SMSH PNCH
GRAPE PUNCH,PUNCH
MANGO MADNESS PUNCH,PUNCH
ORANGE CITRUS PUNCH,CITRUS
SPKD STRW PNPL PNCH,SPKD STRW PNPL PNCH
HARD LEMONADE & LAGR,LEMONADE
TRADITIONAL LIME,TRADITIONAL LIME
LAGER AND LEMONADE,LEMONADE
PECAN PIE,PECAN PIE
CHOCOLATE PUMPKIN,CHOCOLATE
CITRA,CITRUS
CHERRY AND RASPBERRY,RASPBERRY
EVIL APPLE,APPLE
WICKED PUNCH,PUNCH
MINT CHOCOLATE,CHOCOLATE
UVA BERRY,BERRY
BLUE HURRICANE,HURRICANE
COCO LOKO,COCO LOKO
UVA GRAPE,GRAPE
ORIGINAL MARGARITA,MARGARITA
PEACH MARGARITA,MARGARITA
ROSE,ROSE
BLACK WALNUT,BLACK WALNUT
CHOCOLATE BUNNY,CHOCOLATE
RASPBERRY WATERMELON,WATERMELON
KIWI LIME,CITRUS
MANGO CITRUS,MANGO
CITRUS RADLER,CITRUS
CHELADA,CHELADA
LEMON STINGER,LEMONADE
BLACKBERRY ULTRAVILT,BLACKBERRY ULTRAVILT
BLK BERRY,BERRY
HARD LEMON LIME,LEMONADE
HARD BLACK CHERRY,CHERRY
HARD ORANGE,ORANGE
HARD PUNCH,PUNCH
LEMON BERRY,BERRY
HARD POMEGRANAT LMND,POMEGRANATE
ROOT BEER,ROOT BEER
TROPICAL MANGO,TROPICAL
COCONUT,COCONUT
