packaging_name,packaging_cat
CAN,CAN
GLASS BOTTLE,GLASS BOTTLE
GLASS BOTTLE IN CRTN,GLASS BOTTLE IN BOX
GLASS BOTTLE IN BOX,GLASS BOTTLE IN BOX
LONG NECK BTL CRTN,GLASS BOTTLE IN BOX
LONG NECK BOTTLE,GLASS BOTTLE IN BOX
LONG NECK BTL IN BOX,GLASS BOTTLE IN BOX
RET LONG NECK BOTTLE,GLASS BOTTLE IN BOX
KEG,KEG
ASSORTED,ASSORTED
ASSORTED,ASSORTED
BOTTLE,GLASS BOTTLE
CAN IN BOX,CAN IN BOX
ALUMINUM BOTTL IN BX,ALUMINUM BOTTLE IN BOX
ALUMINUM BOTTLE,ALUMINUM BOTTLE
LONG NECK PLASTC BTL,PLASTIC BOTTLE
PLASTIC BOTTLE IN BX,PLASTIC BOTTLE IN BOX
NON RETURNABLE BTL,BOTTLE
BOTTLE GIFT PACK,BOTTLE
CAN IN CARTON,CAN IN BOX
NON RETURNABLE GB,GLASS BOTTLE
NR LONG NECK BOTTLE,GLASS BOTTLE
PARTY BALL,PARTY BALL
RETURNABLE,GLASS BOTTLE
WIDE MOUTH BOTTLE,GLASS BOTTLE
BARREL,BARREL
RETURNABLE BOTTLE,GLASS BOTTLE
GIFT PACK BOX,GLASS BOTTLE
MAGNUM BOTLE GIFT BX,GLASS BOTTLE
RETURNABLE GLASS BTL,GLASS BOTTLE
PLASTIC BOTTLE,PLASTIC BOTTLE
NR GB IN CRDBD CRTN,GLASS BOTTLE IN BOX
PLASTIC BOTL IN CRTN,PLASTIC BOTTLE IN BOX
CAN IN CRDBRD BOX,CAN IN BOX
DECANTER,DECANTER
BAG IN BOX,BAG IN BOX
SHORTNECK BOTTLE,GLASS BOTTLE
SHRTNCK BTTL IN CRTN,GLASS BOTTLE IN BOX
GLS BTL IN CRDBRD CS,GLASS BOTTLE IN BOX
PLASTIC POUCH IN BOX,PLASTIC POUCH
PLASTIC POUCH,PLASTIC POUCH
WIDE MTH BTL IN A BX,GLASS BOTTLE IN BOX
PLASTIC WIDE MTH BTL,GLASS BOTTLE IN BOX
GLASS JUG,GLASS JUG
CAN IN FRIDGE PCK BX,CAN IN BOX
PLASTIC BTTL IN A BX,PLASTIC BOTTLE IN BOX
NON RETURNABLE,GLASS BOTTLE
NR PLASTIC BOTTLE,PLASTIC BOTTLE
LNG NCK BTL IN WD BX,GLASS BOTTLE IN BOX
GLASS BOTTLE IN TRAY,GLASS BOTTLE IN BOX
UNKNOWN,UNKNOWN
UNKNOWN,UNKNOWN
BOTTLE IN BOX,BOTTLE IN BOX
CAN GIFT PACK,CAN IN BOX
LONG NECK BTL TBX,GLASS BOTTLE IN BOX
CAN COOLER PACK,CAN IN BOX
ALUMINM BTTL IN CRTN,ALUMINUM BOTTLE IN BOX
PLASTIC WRAPPED CAN,"CAN, PLASTIC SECURED"
N RTR LNG NCKBTLINBX,GLASS BOTTLE IN BOX
HOME DRAFT SYSTEM,HOME DRAFT SYSTEM
LNG NCK PLS BTL INBX,GLASS BOTTLE IN BOX
CLEAR GLASS BOTTLE,GLASS BOTTLE
CAN IN GIFT BOX,CAN IN BOX
SHORTNECK BTTL IN BX,GLASS BOTTLE IN BOX
PACKAGE,PACKAGE
LNG NCK BTL CN IN BX,GLASS BOTTLE
CERAMIC BOTTLE,CERAMIC BOTTLE
GLASS JAR,GLASS JAR
BOTTLE IN CARTON,GLASS BOTTLE IN BOX
GIFT PACK,ASSORTED
PLASTIC WRPD GLS BTL,"GLASS BOTTLE, PLASTIC SECURED"
ALUMINUM CAN,CAN
CARTON,CAN IN BOX
BOX,CAN IN BOX
PLASTIC JUG,PLASTIC JUG
BOTTLE IN TOOLBOX,BOTTLE IN BOX
TALL CAN,CAN
PLASTIC SECURED CAN,PLASTIC SECURED CAN
