ALABAMA,Alabama,AL
ALASKA,Alaska,AK
ARIZONA,Arizona,AZ
ARKANSAS,Arkansas,AR
CALIFORNIA,California,CA
COLORADO,Colorado,CO
CONNECTICUT,Connecticut,CT
DELAWARE,Delaware,DE
FLORIDA,Florida,FL
GEORGIA,Georgia,GA
HAWAII,Hawaii,HI
IDAHO,Idaho,ID
ILLINOIS,Illinois,IL
INDIANA,Indiana,IN
IOWA,Iowa,IA
KANSAS,Kansas,KS
KENTUCKY,Kentucky,KY
LOUISIANA,Louisiana,LA
MAINE,Maine,ME
MARYLAND,Maryland,MD
MASSACHUSETTS,Massachusetts,MA
MICHIGAN,Michigan,MI
MINNESOTA,Minnesota,MN
MISSISSIPPI,Mississippi,MS
MISSOURI,Missouri,MO
MONTANA,Montana,MT
NEBRASKA,Nebraska,NE
NEVADA,Nevada,NV
NEW HAMPSHIRE,New Hampshire,NH
NEW JERSEY,New Jersey,NJ
NEW MEXICO,New Mexico,NM
NEW YORK,New York,NY
NORTH CAROLINA,North Carolina,NC
NORTH DAKOTA,North Dakota,ND
OHIO,Ohio,OH
OKLAHOMA,Oklahoma,OK
OREGON,Oregon,OR
PENNSYLVANIA,Pennsylvania,PA
RHODE ISLAND,Rhode Island,RI
SOUTH CAROLINA,South Carolina,SC
SOUTH DAKOTA,South Dakota,SD
TENNESSEE,Tennessee,TN
TEXAS,Texas,TX
UTAH,Utah,UT
VERMONT,Vermont,VT
VIRGINIA,Virginia,VA
WASHINGTON,Washington,WA
WEST VIRGINIA,West Virginia,WV
WISCONSIN,Wisconsin,WI
WYOMING,Wyoming,WY
